CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage orthophonistes
01001;L'Abergement-Clémenciat;3_intermediaire
01002;L'Abergement-de-Varey;3_intermediaire
01004;Ambérieu-en-Bugey;3_intermediaire
01005;Ambérieux-en-Dombes;3_intermediaire
01006;Ambléon;3_intermediaire
01007;Ambronay;3_intermediaire
01008;Ambutrix;3_intermediaire
01009;Andert-et-Condon;3_intermediaire
01010;Anglefort;3_intermediaire
01011;Apremont;1b_Sous_dense
01012;Aranc;3_intermediaire
01013;Arandas;3_intermediaire
01014;Arbent;1b_Sous_dense
01015;Arboys en Bugey;3_intermediaire
01016;Arbigny;3_intermediaire
01017;Argis;3_intermediaire
01019;Armix;3_intermediaire
01021;Ars-sur-Formans;3_intermediaire
01022;Artemare;3_intermediaire
01023;Asnières-sur-Saône;3_intermediaire
01024;Attignat;1b_Sous_dense
01025;Bâgé-Dommartin;3_intermediaire
01026;Bâgé-le-Châtel;3_intermediaire
01027;Balan;3_intermediaire
01028;Baneins;3_intermediaire
01029;Beaupont;1b_Sous_dense
01030;Beauregard;4_Tres_dotee
01031;Bellignat;1b_Sous_dense
01032;Béligneux;3_intermediaire
01033;Valserhône;1b_Sous_dense
01034;Belley;3_intermediaire
01035;Belleydoux;1b_Sous_dense
01036;Valromey-sur-Séran;3_intermediaire
01037;Bénonces;1b_Sous_dense
01038;Bény;1b_Sous_dense
01040;Béréziat;1b_Sous_dense
01041;Bettant;3_intermediaire
01042;Bey;3_intermediaire
01043;Beynost;3_intermediaire
01044;Billiat;1b_Sous_dense
01045;Birieux;3_intermediaire
01046;Biziat;3_intermediaire
01047;Blyes;3_intermediaire
01049;La Boisse;3_intermediaire
01050;Boissey;3_intermediaire
01051;Bolozon;1b_Sous_dense
01052;Bouligneux;3_intermediaire
01053;Bourg-en-Bresse;3_intermediaire
01054;Bourg-Saint-Christophe;5_Sur_dotee
01056;Boyeux-Saint-Jérôme;3_intermediaire
01057;Boz;3_intermediaire
01058;Brégnier-Cordon;1b_Sous_dense
01060;Brénod;3_intermediaire
01061;Brens;3_intermediaire
01062;Bressolles;3_intermediaire
01063;Brion;1b_Sous_dense
01064;Briord;1b_Sous_dense
01065;Buellas;3_intermediaire
01066;La Burbanche;3_intermediaire
