CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage sages-femmes
01001;L'Abergement-Clémenciat;3_intermediaire
01002;L'Abergement-de-Varey;3_intermediaire
01004;Ambérieu-en-Bugey;3_intermediaire
01005;Ambérieux-en-Dombes;3_intermediaire
01006;Ambléon;3_intermediaire
01007;Ambronay;3_intermediaire
01008;Ambutrix;3_intermediaire
01009;Andert-et-Condon;3_intermediaire
01010;Anglefort;3_intermediaire
01011;Apremont;3_intermediaire
01012;Aranc;3_intermediaire
01013;Arandas;3_intermediaire
01014;Arbent;3_intermediaire
01015;Arboys en Bugey;3_intermediaire
01016;Arbigny;3_intermediaire
01017;Argis;3_intermediaire
01019;Armix;3_intermediaire
01021;Ars-sur-Formans;4_Tres_dotee
01022;Artemare;3_intermediaire
01023;Asnières-sur-Saône;4_Tres_dotee
01024;Attignat;3_intermediaire
01025;Bâgé-Dommartin;4_Tres_dotee
01026;Bâgé-le-Châtel;4_Tres_dotee
01027;Balan;4_Tres_dotee
01028;Baneins;3_intermediaire
01029;Beaupont;3_intermediaire
01030;Beauregard;5_Sur_dotee
01031;Bellignat;3_intermediaire
01032;Béligneux;4_Tres_dotee
01033;Valserhône;3_intermediaire
01034;Belley;3_intermediaire
01035;Belleydoux;3_intermediaire
01036;Valromey-sur-Séran;3_intermediaire
01037;Bénonces;3_intermediaire
01038;Bény;3_intermediaire
01040;Béréziat;3_intermediaire
01041;Bettant;3_intermediaire
01042;Bey;4_Tres_dotee
01043;Beynost;3_intermediaire
01044;Billiat;3_intermediaire
01045;Birieux;3_intermediaire
01046;Biziat;3_intermediaire
01047;Blyes;3_intermediaire
01049;La Boisse;3_intermediaire
01050;Boissey;3_intermediaire
01051;Bolozon;3_intermediaire
01052;Bouligneux;3_intermediaire
01053;Bourg-en-Bresse;3_intermediaire
01054;Bourg-Saint-Christophe;3_intermediaire
01056;Boyeux-Saint-Jérôme;3_intermediaire
01057;Boz;3_intermediaire
01058;Brégnier-Cordon;4_Tres_dotee
01060;Brénod;3_intermediaire
01061;Brens;3_intermediaire
01062;Bressolles;4_Tres_dotee
01063;Brion;3_intermediaire
01064;Briord;3_intermediaire
01065;Buellas;4_Tres_dotee
01066;La Burbanche;3_intermediaire
01067;Ceignes;3_intermediaire
