CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage infirmiers
01001;L'Abergement-Clémenciat;4_Tres_dotee
01002;L'Abergement-de-Varey;4_Tres_dotee
01004;Ambérieu-en-Bugey;4_Tres_dotee
01005;Ambérieux-en-Dombes;4_Tres_dotee
01006;Ambléon;4_Tres_dotee
01007;Ambronay;4_Tres_dotee
01008;Ambutrix;4_Tres_dotee
01009;Andert-et-Condon;4_Tres_dotee
01010;Anglefort;2_Sous_dotee
01011;Apremont;4_Tres_dotee
01012;Aranc;4_Tres_dotee
01013;Arandas;4_Tres_dotee
01014;Arbent;4_Tres_dotee
01015;Arboys en Bugey;4_Tres_dotee
01016;Arbigny;3_intermediaire
01017;Argis;4_Tres_dotee
01019;Armix;4_Tres_dotee
01021;Ars-sur-Formans;4_Tres_dotee
01022;Artemare;4_Tres_dotee
01023;Asnières-sur-Saône;3_intermediaire
01024;Attignat;3_intermediaire
01025;Bâgé-Dommartin;4_Tres_dotee
01026;Bâgé-le-Châtel;4_Tres_dotee
01027;Balan;4_Tres_dotee
01028;Baneins;4_Tres_dotee
01029;Beaupont;2_Sous_dotee
01030;Beauregard;4_Tres_dotee
01031;Bellignat;4_Tres_dotee
01032;Béligneux;4_Tres_dotee
01033;Valserhône;2_Sous_dotee
01034;Belley;4_Tres_dotee
01035;Belleydoux;4_Tres_dotee
01036;Valromey-sur-Séran;4_Tres_dotee
01037;Bénonces;3_intermediaire
01038;Bény;3_intermediaire
01040;Béréziat;3_intermediaire
01041;Bettant;4_Tres_dotee
01042;Bey;3_intermediaire
01043;Beynost;4_Tres_dotee
01044;Billiat;2_Sous_dotee
01045;Birieux;3_intermediaire
01046;Biziat;3_intermediaire
01047;Blyes;4_Tres_dotee
01049;La Boisse;4_Tres_dotee
01050;Boissey;3_intermediaire
01051;Bolozon;3_intermediaire
01052;Bouligneux;3_intermediaire
01053;Bourg-en-Bresse;4_Tres_dotee
01054;Bourg-Saint-Christophe;4_Tres_dotee
01056;Boyeux-Saint-Jérôme;4_Tres_dotee
01057;Boz;3_intermediaire
01058;Brégnier-Cordon;3_intermediaire
01060;Brénod;4_Tres_dotee
01061;Brens;4_Tres_dotee
01062;Bressolles;4_Tres_dotee
01063;Brion;3_intermediaire
01064;Briord;3_intermediaire
01065;Buellas;3_intermediaire
01066;La Burbanche;4_Tres_dotee
01067;Ceignes;3_intermediaire
01068;Cerdon;4_Tres_dotee
01069;Certines;3_intermediaire
01071;Cessy;1_Tres_sous_dotee
01072;Ceyzériat;3_intermediaire
01073;Ceyzérieu;4_Tres_dotee
01074;Chalamont;4_Tres_dotee
01075;Chaleins;4_Tres_dotee
01076;Chaley;4_Tres_dotee
01077;Challes-la-Montagne;4_Tres_dotee
01078;Challex;1_Tres_sous_dotee
01079;Champagne-en-Valromey;4_Tres_dotee
01080;Champdor-Corcelles;4_Tres_dotee
01081;Champfromier;2_Sous_dotee
01082;Chanay;2_Sous_dotee
01083;Chaneins;4_Tres_dotee
01084;Chanoz-Châtenay;4_Tres_dotee
01085;La Chapelle-du-Châtelard;3_intermediaire
01087;Charix;3_intermediaire
01088;Charnoz-sur-Ain;4_Tres_dotee
01089;Château-Gaillard;4_Tres_dotee
01090;Châtenay;4_Tres_dotee
01092;Châtillon-la-Palud;4_Tres_dotee
01093;Châtillon-sur-Chalaronne;4_Tres_dotee
01094;Chavannes-sur-Reyssouze;3_intermediaire
01095;Nivigne et Suran;3_intermediaire
01096;Chaveyriat;3_intermediaire
01098;Chazey-Bons;4_Tres_dotee
01099;Chazey-sur-Ain;4_Tres_dotee
01100;Cheignieu-la-Balme;4_Tres_dotee
01101;Chevillard;3_intermediaire
01102;Chevroux;3_intermediaire
01103;Chevry;1_Tres_sous_dotee
01104;Chézery-Forens;2_Sous_dotee
01105;Civrieux;4_Tres_dotee
01106;Cize;3_intermediaire
01107;Cleyzieu;4_Tres_dotee
01108;Coligny;2_Sous_dotee
01109;Collonges;2_Sous_dotee
01110;Colomieu;4_Tres_dotee
01111;Conand;4_Tres_dotee
01112;Condamine;3_intermediaire
01113;Condeissiat;3_intermediaire
01114;Confort;2_Sous_dotee
01115;Confrançon;3_intermediaire
01116;Contrevoz;4_Tres_dotee
01117;Conzieu;4_Tres_dotee
01118;Corbonod;2_Sous_dotee
01121;Corlier;4_Tres_dotee
01123;Cormoranche-sur-Saône;3_intermediaire
01124;Cormoz;2_Sous_dotee
01125;Corveissiat;3_intermediaire
01127;Courmangoux;2_Sous_dotee
01128;Courtes;3_intermediaire
01129;Crans;4_Tres_dotee
01130;Bresse Vallons;3_intermediaire
01133;Cressin-Rochefort;4_Tres_dotee
01134;Crottet;4_Tres_dotee
01135;Crozet;1_Tres_sous_dotee
01136;Cruzilles-lès-Mépillat;4_Tres_dotee
01138;Culoz-Béon;4_Tres_dotee
01139;Curciat-Dongalon;3_intermediaire
01140;Curtafond;3_intermediaire
01141;Cuzieu;4_Tres_dotee
01142;Dagneux;4_Tres_dotee
01143;Divonne-les-Bains;1_Tres_sous_dotee
01145;Dompierre-sur-Veyle;3_intermediaire
01146;Dompierre-sur-Chalaronne;4_Tres_dotee
01147;Domsure;2_Sous_dotee
01148;Dortan;3_intermediaire
01149;Douvres;4_Tres_dotee
01150;Drom;3_intermediaire
01151;Druillat;4_Tres_dotee
01152;Échallon;4_Tres_dotee
01153;Échenevex;1_Tres_sous_dotee
01155;Évosges;4_Tres_dotee
01156;Faramans;4_Tres_dotee
01157;Fareins;4_Tres_dotee
01158;Farges;1_Tres_sous_dotee
01159;Feillens;4_Tres_dotee
01160;Ferney-Voltaire;1_Tres_sous_dotee
01162;Flaxieu;4_Tres_dotee
01163;Foissiat;3_intermediaire
01165;Francheleins;4_Tres_dotee
01166;Frans;4_Tres_dotee
01167;Garnerans;3_intermediaire
01169;Genouilleux;4_Tres_dotee
01170;Béard-Géovreissiat;3_intermediaire
01171;Géovreisset;4_Tres_dotee
01173;Gex;1_Tres_sous_dotee
01174;Giron;2_Sous_dotee
01175;Gorrevod;3_intermediaire
01177;Grand-Corent;3_intermediaire
01179;Grièges;4_Tres_dotee
01180;Grilly;1_Tres_sous_dotee
01181;Groissiat;4_Tres_dotee
01183;Guéreins;4_Tres_dotee
01184;Hautecourt-Romanèche;3_intermediaire
01185;Plateau d'Hauteville;4_Tres_dotee
01187;Haut Valromey;4_Tres_dotee
01188;Illiat;3_intermediaire
01189;Injoux-Génissiat;2_Sous_dotee
01190;Innimond;4_Tres_dotee
01191;Izenave;4_Tres_dotee
01192;Izernore;3_intermediaire
01193;Izieu;3_intermediaire
01194;Jassans-Riottier;4_Tres_dotee
01195;Jasseron;3_intermediaire
01196;Jayat;3_intermediaire
01197;Journans;3_intermediaire
01198;Joyeux;3_intermediaire
01199;Jujurieux;4_Tres_dotee
01200;Labalme;3_intermediaire
01202;Lagnieu;4_Tres_dotee
01203;Laiz;4_Tres_dotee
01204;Le Poizat-Lalleyriat;3_intermediaire
01206;Lantenay;4_Tres_dotee
01207;Lapeyrouse;3_intermediaire
01208;Lavours;4_Tres_dotee
01209;Léaz;2_Sous_dotee
01210;Lélex;1_Tres_sous_dotee
01211;Lent;3_intermediaire
01212;Lescheroux;3_intermediaire
01213;Leyment;4_Tres_dotee
01214;Leyssard;3_intermediaire
01215;Surjoux-Lhopital;2_Sous_dotee
01216;Lhuis;3_intermediaire
01219;Lompnas;3_intermediaire
01224;Loyettes;4_Tres_dotee
01225;Lurcy;4_Tres_dotee
01227;Magnieu;4_Tres_dotee
01228;Maillat;3_intermediaire
01229;Malafretaz;3_intermediaire
01230;Mantenay-Montlin;3_intermediaire
01231;Manziat;3_intermediaire
01232;Marboz;3_intermediaire
01233;Marchamp;4_Tres_dotee
01234;Marignieu;4_Tres_dotee
01235;Marlieux;3_intermediaire
01236;Marsonnas;3_intermediaire
01237;Martignat;4_Tres_dotee
01238;Massieux;4_Tres_dotee
01239;Massignieu-de-Rives;3_intermediaire
01240;Matafelon-Granges;3_intermediaire
01241;Meillonnas;3_intermediaire
01242;Mérignat;4_Tres_dotee
01243;Messimy-sur-Saône;4_Tres_dotee
01244;Meximieux;4_Tres_dotee
01245;Bohas-Meyriat-Rignat;3_intermediaire
01246;Mézériat;3_intermediaire
01247;Mijoux;1_Tres_sous_dotee
01248;Mionnay;3_intermediaire
01249;Miribel;4_Tres_dotee
01250;Misérieux;4_Tres_dotee
01252;Mogneneins;3_intermediaire
01254;Montagnat;3_intermediaire
01255;Montagnieu;3_intermediaire
01257;Montanges;2_Sous_dotee
01258;Montceaux;4_Tres_dotee
01259;Montcet;3_intermediaire
01260;Le Montellier;4_Tres_dotee
01261;Monthieux;3_intermediaire
01262;Montluel;4_Tres_dotee
01263;Montmerle-sur-Saône;4_Tres_dotee
01264;Montracol;3_intermediaire
01265;Montréal-la-Cluse;3_intermediaire
01266;Montrevel-en-Bresse;3_intermediaire
01267;Nurieux-Volognat;3_intermediaire
01268;Murs-et-Gélignieux;3_intermediaire
01269;Nantua;3_intermediaire
01272;Neuville-les-Dames;4_Tres_dotee
01273;Neuville-sur-Ain;4_Tres_dotee
01274;Les Neyrolles;3_intermediaire
01275;Neyron;4_Tres_dotee
01276;Niévroz;4_Tres_dotee
01277;Nivollet-Montgriffon;4_Tres_dotee
01279;Oncieu;4_Tres_dotee
01280;Ordonnaz;4_Tres_dotee
01281;Ornex;1_Tres_sous_dotee
01282;Outriaz;4_Tres_dotee
01283;Oyonnax;4_Tres_dotee
01284;Ozan;3_intermediaire
01285;Parcieux;4_Tres_dotee
01286;Parves et Nattages;3_intermediaire
01288;Péron;1_Tres_sous_dotee
01289;Péronnas;4_Tres_dotee
01290;Pérouges;4_Tres_dotee
01291;Perrex;3_intermediaire
01293;Peyriat;3_intermediaire
01294;Peyrieu;4_Tres_dotee
01295;Peyzieux-sur-Saône;3_intermediaire
01296;Pirajoux;2_Sous_dotee
01297;Pizay;4_Tres_dotee
01298;Plagne;2_Sous_dotee
01299;Le Plantay;3_intermediaire
01301;Polliat;3_intermediaire
01302;Pollieu;4_Tres_dotee
01303;Poncin;4_Tres_dotee
01304;Pont-d'Ain;4_Tres_dotee
01305;Pont-de-Vaux;3_intermediaire
01306;Pont-de-Veyle;4_Tres_dotee
01307;Port;3_intermediaire
01308;Pougny;1_Tres_sous_dotee
01309;Pouillat;2_Sous_dotee
01310;Prémeyzel;4_Tres_dotee
01311;Prémillieu;4_Tres_dotee
01313;Prévessin-Moëns;1_Tres_sous_dotee
01314;Priay;4_Tres_dotee
01317;Ramasse;3_intermediaire
01318;Rancé;4_Tres_dotee
01319;Relevant;4_Tres_dotee
01320;Replonges;4_Tres_dotee
01321;Revonnas;3_intermediaire
01322;Reyrieux;4_Tres_dotee
01323;Reyssouze;3_intermediaire
01325;Rignieux-le-Franc;4_Tres_dotee
01328;Romans;4_Tres_dotee
01329;Rossillon;4_Tres_dotee
01330;Ruffieu;4_Tres_dotee
01331;Saint-Alban;4_Tres_dotee
01332;Saint-André-de-Bâgé;4_Tres_dotee
01333;Saint-André-de-Corcy;3_intermediaire
01334;Saint-André-d'Huiriat;4_Tres_dotee
01335;Saint-André-le-Bouchoux;4_Tres_dotee
01336;Saint-André-sur-Vieux-Jonc;3_intermediaire
01337;Saint-Bénigne;3_intermediaire
01338;Groslée-Saint-Benoit;4_Tres_dotee
01339;Saint-Bernard;4_Tres_dotee
01342;Sainte-Croix;4_Tres_dotee
01343;Saint-Cyr-sur-Menthon;4_Tres_dotee
01344;Saint-Denis-lès-Bourg;4_Tres_dotee
01345;Saint-Denis-en-Bugey;4_Tres_dotee
01346;Saint-Didier-d'Aussiat;3_intermediaire
01347;Saint-Didier-de-Formans;4_Tres_dotee
01348;Saint-Didier-sur-Chalaronne;3_intermediaire
01349;Saint-Éloi;4_Tres_dotee
01350;Saint-Étienne-du-Bois;3_intermediaire
01351;Saint-Étienne-sur-Chalaronne;3_intermediaire
01352;Saint-Étienne-sur-Reyssouze;3_intermediaire
01353;Sainte-Euphémie;4_Tres_dotee
01354;Saint-Genis-Pouilly;1_Tres_sous_dotee
01355;Saint-Genis-sur-Menthon;3_intermediaire
01356;Saint-Georges-sur-Renon;4_Tres_dotee
01357;Saint-Germain-de-Joux;2_Sous_dotee
01358;Saint-Germain-les-Paroisses;4_Tres_dotee
01359;Saint-Germain-sur-Renon;4_Tres_dotee
01360;Saint-Jean-de-Gonville;1_Tres_sous_dotee
01361;Saint-Jean-de-Niost;4_Tres_dotee
01362;Saint-Jean-de-Thurigneux;4_Tres_dotee
01363;Saint-Jean-le-Vieux;4_Tres_dotee
01364;Saint-Jean-sur-Reyssouze;3_intermediaire
01365;Saint-Jean-sur-Veyle;4_Tres_dotee
01366;Sainte-Julie;4_Tres_dotee
01367;Saint-Julien-sur-Reyssouze;3_intermediaire
01368;Saint-Julien-sur-Veyle;3_intermediaire
01369;Saint-Just;3_intermediaire
01370;Saint-Laurent-sur-Saône;4_Tres_dotee
01371;Saint-Marcel;3_intermediaire
01372;Saint-Martin-de-Bavel;4_Tres_dotee
01373;Saint-Martin-du-Frêne;3_intermediaire
01374;Saint-Martin-du-Mont;3_intermediaire
01375;Saint-Martin-le-Châtel;3_intermediaire
01376;Saint-Maurice-de-Beynost;4_Tres_dotee
01378;Saint-Maurice-de-Gourdans;4_Tres_dotee
01379;Saint-Maurice-de-Rémens;4_Tres_dotee
01380;Saint-Nizier-le-Bouchoux;3_intermediaire
01381;Saint-Nizier-le-Désert;3_intermediaire
01382;Sainte-Olive;3_intermediaire
01383;Saint-Paul-de-Varax;4_Tres_dotee
01384;Saint-Rambert-en-Bugey;4_Tres_dotee
01385;Saint-Rémy;4_Tres_dotee
01386;Saint-Sorlin-en-Bugey;4_Tres_dotee
01387;Saint-Sulpice;3_intermediaire
01388;Saint-Trivier-de-Courtes;3_intermediaire
01389;Saint-Trivier-sur-Moignans;4_Tres_dotee
01390;Saint-Vulbas;4_Tres_dotee
01391;Salavre;2_Sous_dotee
01392;Samognat;3_intermediaire
01393;Sandrans;4_Tres_dotee
01396;Sault-Brénaz;3_intermediaire
01397;Sauverny;1_Tres_sous_dotee
01398;Savigneux;4_Tres_dotee
01399;Ségny;1_Tres_sous_dotee
01400;Seillonnaz;3_intermediaire
01401;Sergy;1_Tres_sous_dotee
01402;Sermoyer;3_intermediaire
01403;Serrières-de-Briord;3_intermediaire
01404;Serrières-sur-Ain;3_intermediaire
01405;Servas;3_intermediaire
01406;Servignat;3_intermediaire
01407;Seyssel;2_Sous_dotee
01408;Simandre-sur-Suran;3_intermediaire
01410;Sonthonnax-la-Montagne;3_intermediaire
01411;Souclin;4_Tres_dotee
01412;Sulignat;3_intermediaire
01415;Talissieu;4_Tres_dotee
01416;Tenay;4_Tres_dotee
01418;Thil;4_Tres_dotee
01419;Thoiry;1_Tres_sous_dotee
01420;Thoissey;3_intermediaire
01421;Torcieu;4_Tres_dotee
01422;Tossiat;3_intermediaire
01423;Toussieux;4_Tres_dotee
01424;Tramoyes;4_Tres_dotee
01425;La Tranclière;3_intermediaire
01426;Val-Revermont;3_intermediaire
01427;Trévoux;4_Tres_dotee
01428;Valeins;4_Tres_dotee
01429;Vandeins;3_intermediaire
01430;Varambon;4_Tres_dotee
01431;Vaux-en-Bugey;4_Tres_dotee
01432;Verjon;2_Sous_dotee
01433;Vernoux;3_intermediaire
01434;Versailleux;3_intermediaire
01435;Versonnex;1_Tres_sous_dotee
01436;Vesancy;1_Tres_sous_dotee
01437;Vescours;3_intermediaire
01439;Vésines;4_Tres_dotee
01441;Vieu-d'Izenave;3_intermediaire
01443;Villars-les-Dombes;3_intermediaire
01444;Villebois;3_intermediaire
01445;Villemotier;2_Sous_dotee
01446;Villeneuve;4_Tres_dotee
01447;Villereversure;3_intermediaire
01448;Villes;2_Sous_dotee
01449;Villette-sur-Ain;4_Tres_dotee
01450;Villieu-Loyes-Mollon;4_Tres_dotee
01451;Viriat;5_Sur_dotee
01452;Virieu-le-Grand;4_Tres_dotee
01453;Arvière-en-Valromey;4_Tres_dotee
01454;Virignin;3_intermediaire
01456;Vongnes;4_Tres_dotee
01457;Vonnas;3_intermediaire
02001;Abbécourt;4_Tres_dotee
02002;Achery;4_Tres_dotee
02003;Acy;5_Sur_dotee
02004;Agnicourt-et-Séchelles;4_Tres_dotee
02005;Aguilcourt;3_intermediaire
02006;Aisonville-et-Bernoville;5_Sur_dotee
02007;Aizelles;3_intermediaire
02008;Aizy-Jouy;4_Tres_dotee
02009;Alaincourt;4_Tres_dotee
02010;Allemant;4_Tres_dotee
02011;Ambleny;3_intermediaire
02012;Ambrief;3_intermediaire
02013;Amifontaine;3_intermediaire
02014;Amigny-Rouy;4_Tres_dotee
02015;Ancienville;3_intermediaire
02016;Andelain;4_Tres_dotee
02017;Anguilcourt-le-Sart;4_Tres_dotee
02018;Anizy-le-Grand;4_Tres_dotee
02019;Annois;3_intermediaire
02020;Any-Martin-Rieux;4_Tres_dotee
02021;Archon;4_Tres_dotee
02022;Arcy-Sainte-Restitue;4_Tres_dotee
02023;Armentières-sur-Ourcq;4_Tres_dotee
02024;Arrancy;4_Tres_dotee
02025;Artemps;4_Tres_dotee
02027;Assis-sur-Serre;4_Tres_dotee
02028;Athies-sous-Laon;4_Tres_dotee
02029;Attilly;4_Tres_dotee
02030;Aubencheul-aux-Bois;5_Sur_dotee
02031;Aubenton;4_Tres_dotee
02032;Aubigny-aux-Kaisnes;3_intermediaire
02033;Aubigny-en-Laonnois;3_intermediaire
02034;Audignicourt;3_intermediaire
02035;Audigny;4_Tres_dotee
02036;Augy;4_Tres_dotee
02037;Aulnois-sous-Laon;4_Tres_dotee
02038;Les Autels;4_Tres_dotee
02039;Autremencourt;4_Tres_dotee
02040;Autreppes;4_Tres_dotee
02041;Autreville;4_Tres_dotee
02042;Azy-sur-Marne;3_intermediaire
02043;Bagneux;5_Sur_dotee
02044;Bancigny;4_Tres_dotee
02046;Barenton-Bugny;4_Tres_dotee
02047;Barenton-Cel;4_Tres_dotee
02048;Barenton-sur-Serre;4_Tres_dotee
02049;Barisis-aux-Bois;4_Tres_dotee
02050;Barzy-en-Thiérache;4_Tres_dotee
02051;Barzy-sur-Marne;4_Tres_dotee
02052;Bassoles-Aulers;4_Tres_dotee
02053;Vallées en Champagne;3_intermediaire
02054;Bazoches-et-Saint-Thibaut;3_intermediaire
02055;Beaumé;4_Tres_dotee
02056;Beaumont-en-Beine;3_intermediaire
02057;Beaurevoir;5_Sur_dotee
02058;Beaurieux;3_intermediaire
02059;Beautor;4_Tres_dotee
02060;Beauvois-en-Vermandois;3_intermediaire
02061;Becquigny;5_Sur_dotee
02062;Belleau;3_intermediaire
02063;Bellenglise;4_Tres_dotee
02064;Belleu;5_Sur_dotee
02065;Bellicourt;5_Sur_dotee
02066;Benay;4_Tres_dotee
02067;Bergues-sur-Sambre;4_Tres_dotee
02068;Berlancourt;4_Tres_dotee
02069;Berlise;4_Tres_dotee
02070;Bernot;3_intermediaire
02071;Berny-Rivière;3_intermediaire
02072;Berrieux;3_intermediaire
02073;Berry-au-Bac;3_intermediaire
02074;Bertaucourt-Epourdon;4_Tres_dotee
02075;Berthenicourt;4_Tres_dotee
02076;Bertricourt;3_intermediaire
02078;Besmé;4_Tres_dotee
02079;Besmont;4_Tres_dotee
02080;Besny-et-Loizy;4_Tres_dotee
02081;Béthancourt-en-Vaux;4_Tres_dotee
02082;Beugneux;4_Tres_dotee
02083;Beuvardes;4_Tres_dotee
02084;Bézu-le-Guéry;3_intermediaire
02085;Bézu-Saint-Germain;3_intermediaire
02086;Bichancourt;4_Tres_dotee
02087;Bieuxy;4_Tres_dotee
02088;Bièvres;4_Tres_dotee
02089;Billy-sur-Aisne;5_Sur_dotee
02090;Billy-sur-Ourcq;3_intermediaire
02091;Blanzy-lès-Fismes;3_intermediaire
02093;Blérancourt;3_intermediaire
02094;Blesmes;3_intermediaire
02095;Bohain-en-Vermandois;5_Sur_dotee
02096;Bois-lès-Pargny;4_Tres_dotee
02097;Boncourt;3_intermediaire
02098;Bonneil;3_intermediaire
02099;Bonnesvalyn;3_intermediaire
02100;Bony;5_Sur_dotee
02101;Bosmont-sur-Serre;4_Tres_dotee
02102;Bouconville-Vauclair;4_Tres_dotee
02103;Boué;4_Tres_dotee
02104;Bouffignereux;3_intermediaire
02105;Bouresches;3_intermediaire
02106;Bourg-et-Comin;3_intermediaire
02107;Bourguignon-sous-Coucy;4_Tres_dotee
02108;Bourguignon-sous-Montbavin;4_Tres_dotee
02109;La Bouteille;4_Tres_dotee
02110;Braine;4_Tres_dotee
02111;Brancourt-en-Laonnois;4_Tres_dotee
02112;Brancourt-le-Grand;5_Sur_dotee
02114;Brasles;3_intermediaire
02115;Braye-en-Laonnois;3_intermediaire
02116;Braye-en-Thiérache;4_Tres_dotee
02117;Bray-Saint-Christophe;3_intermediaire
02118;Braye;4_Tres_dotee
02119;Brécy;4_Tres_dotee
02120;Brenelle;4_Tres_dotee
