CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage kinés
01001;L'Abergement-Clémenciat;1_Tres_sous_dotee
01002;L'Abergement-de-Varey;3_intermediaire
01004;Ambérieu-en-Bugey;3_intermediaire
01005;Ambérieux-en-Dombes;3_intermediaire
01006;Ambléon;3_intermediaire
01007;Ambronay;3_intermediaire
01008;Ambutrix;3_intermediaire
01009;Andert-et-Condon;3_intermediaire
01010;Anglefort;3_intermediaire
01011;Apremont;3_intermediaire
01012;Aranc;3_intermediaire
01013;Arandas;3_intermediaire
01014;Arbent;3_intermediaire
01015;Arboys en Bugey;3_intermediaire
01016;Arbigny;1_Tres_sous_dotee
01017;Argis;3_intermediaire
01019;Armix;3_intermediaire
01021;Ars-sur-Formans;3_intermediaire
01022;Artemare;3_intermediaire
01023;Asnières-sur-Saône;3_intermediaire
01024;Attignat;1_Tres_sous_dotee
01025;Bâgé-Dommartin;3_intermediaire
01026;Bâgé-le-Châtel;3_intermediaire
01027;Balan;3_intermediaire
01028;Baneins;1_Tres_sous_dotee
01029;Beaupont;1_Tres_sous_dotee
01030;Beauregard;3_intermediaire
01031;Bellignat;3_intermediaire
01032;Béligneux;3_intermediaire
01033;Valserhône;1_Tres_sous_dotee
01034;Belley;3_intermediaire
01035;Belleydoux;3_intermediaire
01036;Valromey-sur-Séran;3_intermediaire
01037;Bénonces;1_Tres_sous_dotee
01038;Bény;1_Tres_sous_dotee
01040;Béréziat;1_Tres_sous_dotee
01041;Bettant;3_intermediaire
01042;Bey;2_Sous_dotee
01043;Beynost;3_intermediaire
01044;Billiat;1_Tres_sous_dotee
01045;Birieux;2_Sous_dotee
01046;Biziat;1_Tres_sous_dotee
01047;Blyes;2_Sous_dotee
01049;La Boisse;3_intermediaire
01050;Boissey;1_Tres_sous_dotee
01051;Bolozon;1_Tres_sous_dotee
01052;Bouligneux;2_Sous_dotee
01053;Bourg-en-Bresse;3_intermediaire
01054;Bourg-Saint-Christophe;2_Sous_dotee
01056;Boyeux-Saint-Jérôme;3_intermediaire
01057;Boz;1_Tres_sous_dotee
01058;Brégnier-Cordon;3_intermediaire
01060;Brénod;3_intermediaire
01061;Brens;3_intermediaire
01062;Bressolles;3_intermediaire
01063;Brion;2_Sous_dotee
01064;Briord;1_Tres_sous_dotee
01065;Buellas;2_Sous_dotee
01066;La Burbanche;3_intermediaire
01067;Ceignes;2_Sous_dotee
01068;Cerdon;3_intermediaire
01069;Certines;1_Tres_sous_dotee
01071;Cessy;1_Tres_sous_dotee
01072;Ceyzériat;1_Tres_sous_dotee
01073;Ceyzérieu;3_intermediaire
01074;Chalamont;3_intermediaire
01075;Chaleins;3_intermediaire
01076;Chaley;3_intermediaire
01077;Challes-la-Montagne;3_intermediaire
01078;Challex;1_Tres_sous_dotee
01079;Champagne-en-Valromey;3_intermediaire
01080;Champdor-Corcelles;3_intermediaire
01081;Champfromier;1_Tres_sous_dotee
01082;Chanay;3_intermediaire
01083;Chaneins;2_Sous_dotee
01084;Chanoz-Châtenay;1_Tres_sous_dotee
01085;La Chapelle-du-Châtelard;1_Tres_sous_dotee
01087;Charix;2_Sous_dotee
01088;Charnoz-sur-Ain;2_Sous_dotee
01089;Château-Gaillard;3_intermediaire
01090;Châtenay;3_intermediaire
01092;Châtillon-la-Palud;3_intermediaire
01093;Châtillon-sur-Chalaronne;1_Tres_sous_dotee
01094;Chavannes-sur-Reyssouze;1_Tres_sous_dotee
01095;Nivigne et Suran;1_Tres_sous_dotee
01096;Chaveyriat;1_Tres_sous_dotee
01098;Chazey-Bons;3_intermediaire
01099;Chazey-sur-Ain;2_Sous_dotee
01100;Cheignieu-la-Balme;3_intermediaire
01101;Chevillard;2_Sous_dotee
01102;Chevroux;1_Tres_sous_dotee
01103;Chevry;1_Tres_sous_dotee
01104;Chézery-Forens;1_Tres_sous_dotee
01105;Civrieux;3_intermediaire
01106;Cize;1_Tres_sous_dotee
01107;Cleyzieu;3_intermediaire
01108;Coligny;1_Tres_sous_dotee
01109;Collonges;1_Tres_sous_dotee
01110;Colomieu;3_intermediaire
01111;Conand;3_intermediaire
01112;Condamine;2_Sous_dotee
01113;Condeissiat;1_Tres_sous_dotee
01114;Confort;1_Tres_sous_dotee
01115;Confrançon;1_Tres_sous_dotee
01116;Contrevoz;3_intermediaire
01117;Conzieu;3_intermediaire
01118;Corbonod;3_intermediaire
01121;Corlier;3_intermediaire
01123;Cormoranche-sur-Saône;3_intermediaire
01124;Cormoz;1_Tres_sous_dotee
01125;Corveissiat;1_Tres_sous_dotee
01127;Courmangoux;1_Tres_sous_dotee
01128;Courtes;1_Tres_sous_dotee
01129;Crans;3_intermediaire
01130;Bresse Vallons;1_Tres_sous_dotee
01133;Cressin-Rochefort;3_intermediaire
01134;Crottet;3_intermediaire
01135;Crozet;1_Tres_sous_dotee
01136;Cruzilles-lès-Mépillat;3_intermediaire
01138;Culoz-Béon;3_intermediaire
01139;Curciat-Dongalon;1_Tres_sous_dotee
01140;Curtafond;2_Sous_dotee
01141;Cuzieu;3_intermediaire
01142;Dagneux;3_intermediaire
01143;Divonne-les-Bains;1_Tres_sous_dotee
01145;Dompierre-sur-Veyle;1_Tres_sous_dotee
01146;Dompierre-sur-Chalaronne;1_Tres_sous_dotee
01147;Domsure;1_Tres_sous_dotee
01148;Dortan;2_Sous_dotee
01149;Douvres;3_intermediaire
01150;Drom;1_Tres_sous_dotee
01151;Druillat;3_intermediaire
01152;Échallon;3_intermediaire
01153;Échenevex;1_Tres_sous_dotee
01155;Évosges;3_intermediaire
01156;Faramans;2_Sous_dotee
01157;Fareins;3_intermediaire
01158;Farges;1_Tres_sous_dotee
01159;Feillens;3_intermediaire
01160;Ferney-Voltaire;1_Tres_sous_dotee
01162;Flaxieu;3_intermediaire
01163;Foissiat;1_Tres_sous_dotee
01165;Francheleins;2_Sous_dotee
01166;Frans;3_intermediaire
01167;Garnerans;2_Sous_dotee
01169;Genouilleux;2_Sous_dotee
01170;Béard-Géovreissiat;2_Sous_dotee
01171;Géovreisset;3_intermediaire
01173;Gex;1_Tres_sous_dotee
01174;Giron;1_Tres_sous_dotee
01175;Gorrevod;1_Tres_sous_dotee
01177;Grand-Corent;1_Tres_sous_dotee
01179;Grièges;3_intermediaire
01180;Grilly;1_Tres_sous_dotee
01181;Groissiat;3_intermediaire
01183;Guéreins;2_Sous_dotee
01184;Hautecourt-Romanèche;1_Tres_sous_dotee
01185;Plateau d'Hauteville;3_intermediaire
01187;Haut Valromey;3_intermediaire
01188;Illiat;2_Sous_dotee
01189;Injoux-Génissiat;1_Tres_sous_dotee
01190;Innimond;3_intermediaire
01191;Izenave;3_intermediaire
01192;Izernore;2_Sous_dotee
01193;Izieu;3_intermediaire
01194;Jassans-Riottier;3_intermediaire
01195;Jasseron;1_Tres_sous_dotee
